S0,M,price,time elapsed,s.e,rel. error,basis func,degrees,simulations
90,10,12.731163154745737,0.015623092651367188,0.7683236131168614,4.01872764773948,laguerre,50,100
90,30,13.657127967329425,0.07810592651367188,0.7376579019671057,8.588658178607437,laguerre,50,100
90,50,13.659816931756323,0.1889781951904297,0.748342038381007,8.604426189314536,laguerre,50,100
90,70,14.054313112382353,0.2983970642089844,0.7365025164789486,11.074428563764043,laguerre,50,100
90,90,14.99023994405523,0.42597055435180664,0.7223723999462429,18.179591640110488,laguerre,50,100
90,110,14.742847334884862,0.6175785064697266,0.7624258188161676,16.131152668366344,laguerre,50,100
90,130,14.627156409945796,0.8553273677825928,0.744957458821428,15.215224107337914,laguerre,50,100
90,150,13.966645911954526,0.9859247207641602,0.678689128189937,10.49863165339813,laguerre,50,100
90,170,13.930279810734087,1.200212001800537,0.6987754083758349,10.264290231705747,laguerre,50,100
90,190,14.348735634860978,1.4572789669036865,0.7523374094148947,13.120687272971825,laguerre,50,100
90,10,11.588135239198273,0.015624284744262695,0.7520570084935,0.7424381877066771,laguerre,20,100
90,30,12.983319991128422,0.04686164855957031,0.7097203312910442,5.093296458382288,laguerre,20,100
90,50,13.053384537043774,0.10934853553771973,0.6511147374945816,5.414453497061205,laguerre,20,100
90,70,13.307991854599141,0.18745899200439453,0.6687526072828912,6.664168811103873,laguerre,20,100
90,90,13.736485588738141,0.2937302589416504,0.7056631562297981,9.060093249435912,laguerre,20,100
90,110,13.26901090469275,0.41359567642211914,0.6635944426449444,6.464429280117429,laguerre,20,100
90,130,13.035583289817565,0.5754358768463135,0.6575018912298474,5.331927014488706,laguerre,20,100
90,150,13.497276446319779,0.7587137222290039,0.6843096780819188,7.67727576237129,laguerre,20,100
90,170,13.002421517463825,0.973567008972168,0.6264084161103384,5.1798792473951965,laguerre,20,100
90,190,12.150323750833616,1.207714319229126,0.5745210513662364,2.0273119185806925,laguerre,20,100
90,10,11.453602645339993,0.0,0.7572666302894157,0.5286975832879125,laguerre,10,100
90,30,12.766737296180954,0.04686141014099121,0.6191484499019483,4.162622454026077,laguerre,10,100
90,50,12.40058643068757,0.0781090259552002,0.6228649052695513,2.8026098744897583,laguerre,10,100
90,70,13.277676490491487,0.18415260314941406,0.7368503545402916,6.508569295601972,laguerre,10,100
90,90,13.017570558041998,0.27460622787475586,0.6266835943683047,5.249065198325863,laguerre,10,100
90,110,12.692286902270123,0.4015779495239258,0.6781980970391646,3.8643703955576734,laguerre,10,100
90,130,12.965776554516125,0.5517628192901611,0.6639029390857072,5.01441900732978,laguerre,10,100
90,150,13.44792593835215,0.7185814380645752,0.6898873374955151,7.406231473099532,laguerre,10,100
90,170,13.093786740899994,0.9346628189086914,0.6486876811507025,5.6041094358516395,laguerre,10,100
90,190,13.167285658927808,1.1434574127197266,0.7698617546756658,5.957499508625729,laguerre,10,100
90,10,11.642835341952281,0.015620708465576172,0.7357474993885962,0.8396948151076082,laguerre,5,100
90,30,12.205356196399498,0.03124213218688965,0.5675153763319009,2.187054957523976,laguerre,5,100
90,50,12.405911795233717,0.09372854232788086,0.7226620413437502,2.8204686165948294,laguerre,5,100
90,70,12.652161271646408,0.15621232986450195,0.64095153678707,3.708222517008092,laguerre,5,100
90,90,12.540645315465381,0.2655599117279053,0.6454108833334525,3.2911714454411825,laguerre,5,100
90,110,12.325535227788201,0.390533447265625,0.5177527967841054,2.5569561619383885,laguerre,5,100
90,130,12.332606807163938,0.5521001815795898,0.6295522863311769,2.5796217662103054,laguerre,5,100
90,150,12.25492733227202,0.7135457992553711,0.5268746416854586,2.3361307355223717,laguerre,5,100
90,170,11.893265958050597,0.9518764019012451,0.5550071910436567,1.3613738134609694,laguerre,5,100
90,190,11.862828245265161,1.1303327083587646,0.4748489288477712,1.2912720845539913,laguerre,5,100
90,10,11.32755119191153,0.0,0.7607930263013126,0.3612785113019618,laguerre,4,100
90,30,12.43112962180843,0.04780697822570801,0.6007837171403431,2.9058074564565115,laguerre,4,100
90,50,12.127569976621855,0.0848245620727539,0.6682321184847031,1.9630343197429325,laguerre,4,100
90,70,12.022757181857719,0.16125154495239258,0.590673143322487,1.6803171359652094,laguerre,4,100
90,90,12.011615758680463,0.2655673027038574,0.6372658452468264,1.6515566715194356,laguerre,4,100
90,110,11.51280539647156,0.39348769187927246,0.5630305807134661,0.6182970765457281,laguerre,4,100
90,130,11.850793766654126,0.5467462539672852,0.5747402511605993,1.2640663574297466,laguerre,4,100
