S0,M,price,time elapsed,s.e,rel. error,basis func,degrees,simulations
90,10,10.707380074899156,0.2648909091949463,0.06873213272703795,0.00036506350848837174,polyfit,50,10000
90,30,10.796903836225425,1.3228933811187744,0.06310870291186439,0.0049585716525371295,polyfit,50,10000
90,50,10.822328977411244,2.9498751163482666,0.06121257918458875,0.009185740204412183,polyfit,50,10000
90,70,10.792050431934205,5.227121591567993,0.05868561304580783,0.004298601621472863,polyfit,50,10000
90,90,10.778658565142603,7.608170986175537,0.05755309077552307,0.002721902459159154,polyfit,50,10000
90,110,10.746470562044564,11.330222129821777,0.05627807095799295,0.0003993543387616562,polyfit,50,10000
90,130,10.740699281300811,15.227656841278076,0.057274149203045646,0.00020199718029416475,polyfit,50,10000
90,150,10.744865248887534,20.957329988479614,0.058650642374635596,0.0003377706881666465,polyfit,50,10000
90,170,10.733008006900073,26.3722722530365,0.06161113541723494,4.2527312026240594e-05,polyfit,50,10000
90,190,10.730626217863303,31.172240734100342,0.06286894080607407,1.7135524567894975e-05,polyfit,50,10000
90,10,10.692440662060722,0.132246732711792,0.06732189396317588,0.0011591333867190354,polyfit,20,10000
90,30,10.788235618282329,0.9171392917633057,0.06236629495692264,0.003812927662387574,polyfit,20,10000
90,50,10.80199630606092,2.432656764984131,0.06220968200389135,0.005701699083010321,polyfit,20,10000
90,70,10.773348685959903,3.918853521347046,0.05885279596483673,0.00219604478200857,polyfit,20,10000
90,90,10.729810952790787,6.186433792114258,0.05821041391703957,1.1050589503747745e-05,polyfit,20,10000
90,110,10.752600807569435,9.522761821746826,0.05640684934606353,0.0006819460869298258,polyfit,20,10000
90,130,10.72807965371474,13.473483085632324,0.05886440703670376,2.5374693772300173e-06,polyfit,20,10000
90,150,10.722937728632282,18.450934410095215,0.05960551902090086,1.2595269419246158e-05,polyfit,20,10000
90,170,10.72173656696713,21.900411128997803,0.06128080733486236,2.256385973061002e-05,polyfit,20,10000
90,190,10.751602821383065,28.381503105163574,0.06256426965265653,0.000630819046259033,polyfit,20,10000
90,10,10.686713772173288,0.1019887924194336,0.06560764525816437,0.0015818865908854272,polyfit,10,10000
90,30,10.786868327569037,0.7286443710327148,0.06272971460304551,0.003645939728840007,polyfit,10,10000
90,50,10.789456829553226,1.887699842453003,0.06037642323618344,0.003965235944644823,polyfit,10,10000
90,70,10.758860067425273,3.585646152496338,0.05771509362153595,0.0010480342648652066,polyfit,10,10000
90,90,10.743468103522474,5.896811246871948,0.05821576541723708,0.00028836772275528036,polyfit,10,10000
90,110,10.732639011985889,8.590909242630005,0.060033502398260906,3.785081856265125e-05,polyfit,10,10000
90,130,10.719254816793647,11.873114347457886,0.05742354490617389,5.230028071507422e-05,polyfit,10,10000
90,150,10.734499926064915,15.838187217712402,0.058591189553116436,6.421163018834213e-05,polyfit,10,10000
90,170,10.68225343023463,20.725135803222656,0.06033818284506981,0.001956583047162575,polyfit,10,10000
90,190,10.69824245620228,25.048707485198975,0.06207880254691627,0.0007977378779287908,polyfit,10,10000
90,10,10.668653363188994,0.07249641418457031,0.06483496990358088,0.003344696014293796,polyfit,5,10000
90,30,10.774850460425968,0.6895544528961182,0.06305727816229974,0.002339052346123562,polyfit,5,10000
90,50,10.819093248038756,1.9887340068817139,0.062061361927814966,0.008575970870018993,polyfit,5,10000
90,70,10.747435813437034,4.38112473487854,0.060105768634911266,0.00043886493085574,polyfit,5,10000
90,90,10.717225622373876,6.552005052566528,0.06013745387745258,8.576774576929119e-05,polyfit,5,10000
90,110,10.707754567477783,9.342833280563354,0.059749802345464544,0.0003508931670134106,polyfit,5,10000
90,130,10.704241187640685,13.542381048202515,0.05995598521148774,0.000494863269243669,polyfit,5,10000
90,150,10.697913461170774,15.477878093719482,0.06089343283472497,0.0008164305540578075,polyfit,5,10000
90,170,10.672824265451526,19.871134996414185,0.061312969622867974,0.002879657965061403,polyfit,5,10000
90,190,10.677447412409649,25.18268871307373,0.0627238480189009,0.002404852717424526,polyfit,5,10000
90,10,10.675061793102516,0.07810473442077637,0.06542818169546892,0.0026445220876334993,polyfit,4,10000
90,30,10.777992465770183,0.6873743534088135,0.06286061969237716,0.002652842867722013,polyfit,4,10000
90,50,10.781642549735627,1.9091682434082031,0.06246355335228487,0.0030421666465165805,polyfit,4,10000
90,70,10.763695058074362,3.486638069152832,0.06054905309642573,0.0013844611593896703,polyfit,4,10000
90,90,10.710789247723776,5.78893518447876,0.05943101235881967,0.0002464103248806376,polyfit,4,10000
90,110,10.716830310167321,8.410615921020508,0.05968435686753677,9.324605955382916e-05,polyfit,4,10000
90,130,10.68844847873399,11.762230396270752,0.06059661664368122,0.0014469070450364712,polyfit,4,10000
90,150,10.684029769510452,15.891300201416016,0.061495671672009575,0.001802591803758252,polyfit,4,10000
90,170,10.671441880393598,20.47397541999817,0.06289583302533426,0.003029933276802509,polyfit,4,10000
90,190,10.676930915472898,25.11813759803772,0.06418539984162684,0.002455776780579463,polyfit,4,10000
90,10,10.664031968351313,0.07809996604919434,0.0653800058108135,0.0039005947662094733,polyfit,3,10000
90,30,10.769601171928068,0.6642899513244629,0.06245654767519301,0.0018588568191972668,polyfit,3,10000
90,50,10.791464004404032,1.870818853378296,0.06200705577194396,0.004222048775786173,polyfit,3,10000
90,70,10.763085634639058,3.813675880432129,0.06117694880190904,0.0013394812778174648,polyfit,3,10000
90,90,10.715528099242992,6.132152557373047,0.05886198981721675,0.00012009115179503367,polyfit,3,10000
90,110,10.71680406700668,9.652490615844727,0.05900359719214567,9.375357716629908e-05,polyfit,3,10000
