S0,sigma,T,price,s.e,time elapsed
36,0.2,1.0,4.490061445860249,0.009244693362856115,16.37596035003662
36,0.2,2.0,4.841960343568321,0.011029800669030974,18.51323938369751
36,0.4,1.0,7.114721611792697,0.018981946154872174,18.482801914215088
36,0.4,2.0,8.514796156449883,0.02241860471883436,17.23778462409973
38,0.2,1.0,3.2529891945443077,0.009275924746518248,16.71021032333374
38,0.2,2.0,3.74099660679298,0.011045107395529104,15.7797212600708
38,0.4,1.0,6.156485253784033,0.018675134377901435,15.689170598983765
38,0.4,2.0,7.670966283562798,0.022175121400897405,15.958178043365479
40,0.2,1.0,2.3196653791082222,0.008693230900503028,15.790070295333862
40,0.2,2.0,2.886006421941311,0.010458159131172174,15.841210842132568
40,0.4,1.0,5.312682020926944,0.018103163329579442,15.827767133712769
40,0.4,2.0,6.914498404552875,0.021895993254550074,15.893970966339111
42,0.2,1.0,1.625207231699209,0.007599289424525335,15.697602272033691
42,0.2,2.0,2.2189612074681087,0.00963592144444246,15.487900733947754
42,0.4,1.0,4.5916241863023775,0.01728408447146065,15.807628393173218
42,0.4,2.0,6.24122191735702,0.02138727721388648,15.843007564544678
44,0.2,1.0,1.1157854535536231,0.006473112800023859,15.145047903060913
44,0.2,2.0,1.6978467173869642,0.008665416091344223,15.22378420829773
44,0.4,1.0,3.956930905720476,0.016381941963676473,15.525973320007324
44,0.4,2.0,5.646248553564559,0.02073882037660118,15.792505264282227
