S0,M,price,time elapsed,s.e,rel. error,basis func,degrees,simulations,halton
90,10,10.657039751652276,0.01410675048828125,0.21047902578040947,0.004822880036877519,laguerre,5,1000,True
90,30,10.750572005595147,0.013375520706176758,0.2079977728486681,0.0005801014593529934,laguerre,5,1000,True
90,50,10.887864604482264,0.021435022354125977,0.21657366483000076,0.026042824797024786,laguerre,5,1000,True
90,70,10.60262037484374,0.018959999084472656,0.16100169526407554,0.015342869008456328,laguerre,5,1000,True
90,90,10.741683551255585,0.04644417762756348,0.17472513625321096,0.00023094398127492997,laguerre,5,1000,True
90,110,11.143853107266615,0.04082965850830078,0.1776925055034738,0.17419470948842283,laguerre,5,1000,True
90,130,10.82488030267817,0.05501604080200195,0.14266077029474444,0.00968129906151929,laguerre,5,1000,True
90,150,10.85369301752861,0.0637967586517334,0.16625797117378782,0.016181444651018454,laguerre,5,1000,True
90,170,10.927994039205984,0.06252169609069824,0.18037545410489922,0.0406052036856397,laguerre,5,1000,True
90,190,10.959534608683047,0.06367301940917969,0.18048238843416828,0.05431132303653257,laguerre,5,1000,True
100,10,4.758243136153091,0.015621185302734375,0.21185220148085415,0.003889399294384362,laguerre,5,1000,True
100,30,4.806279439856293,0.0,0.18319833695354096,0.0002053129320416071,laguerre,5,1000,True
100,50,4.901129890756203,0.03128552436828613,0.1887319030071099,0.006483745127962971,laguerre,5,1000,True
100,70,4.880628305031466,0.015617847442626953,0.18690479271676752,0.0036024148310087292,laguerre,5,1000,True
100,90,5.01689018684515,0.03124260902404785,0.19930049840580402,0.03852662432164977,laguerre,5,1000,True
100,110,5.048525287886884,0.04686427116394043,0.1982642259461394,0.05194620587347619,laguerre,5,1000,True
100,130,5.03649923875473,0.031245708465576172,0.19876184500232794,0.04660894717196178,laguerre,5,1000,True
100,150,4.9622147107648145,0.06394267082214355,0.19159863792320694,0.020052408192070333,laguerre,5,1000,True
100,170,4.963725767654308,0.04682731628417969,0.18095571411165734,0.020482642518266408,laguerre,5,1000,True
100,190,5.048896828170264,0.07854223251342773,0.18163886668266757,0.052115704685784685,laguerre,5,1000,True
110,10,1.872675749277251,0.0,0.13175135443674885,0.00197741772130546,laguerre,5,1000,True
110,30,1.9436141255879185,0.016315937042236328,0.13564144925882968,0.013318669836562,laguerre,5,1000,True
110,50,1.9856674995937273,0.015622615814208984,0.13129762647510843,0.024793625012341138,laguerre,5,1000,True
110,70,2.006702294787914,0.015621423721313477,0.13181133213809682,0.03186036177195775,laguerre,5,1000,True
110,90,2.0291703185064147,0.031242847442626953,0.13005617118170684,0.040386020652073175,laguerre,5,1000,True
110,110,2.0644338432907374,0.03124260902404785,0.13264951001626676,0.05580284556882932,laguerre,5,1000,True
110,130,1.9921094223919111,0.039502620697021484,0.12119888149016388,0.026863812621541975,laguerre,5,1000,True
